fy,month,IWV,VBTIX,acwi_exUS
2015,10,0.0438387360793704,0.0183009143366006,-0.0701403468777692
2016,10,0.0405515455260612,0.0446486685987617,-0.0247298264483398
2017,10,0.237847974518612,0.00809779020298129,0.205685232262538
2018,10,0.0638717480873763,-0.0202333053366929,-0.10603997054165
2019,10,0.133588711100138,0.115060445233532,0.0811101581426144
2020,10,0.100173079187957,0.0617826606145142,-0.0480970640018373
2021,10,0.434130048788723,-0.00319015530411926,0.268836699259801
2022,10,-0.165763494914209,-0.157824102326082,-0.267482326098605
2000,11,,,
2001,11,-0.115190845443957,0.112035272595064,-0.193973614550423
2002,11,-0.158451340817102,0.047610190668691,-0.125981593060981
2003,11,0.183649645751317,0.0464778501116183,0.235964334143921
2004,11,0.131495911242984,0.0436139755586777,0.220685132178166
2005,11,0.0973536043268552,0.0247917330045695,0.133227218863604
2006,11,0.140813598481599,0.0597314611603421,0.258794181373483
2007,11,0.0703589414434216,0.0622928038110315,0.193424053840955
2008,11,-0.389574068923707,0.0215180510783404,-0.506233649022112
2009,11,0.272066900510053,0.115154612986413,0.42242398900902
2010,11,0.122573723836412,0.0571884722901785,0.0265655445810658
2011,11,0.0679105085554768,0.053714193628259,-0.0853657538841663
2012,11,0.158210516451999,0.0553104328812308,0.083368368323598
2013,11,0.312877578174653,-0.0168336360332048,0.151243054007415
2014,11,0.155925208356639,0.0513177974928856,-0.0191349812272065
2015,11,0.0244982689030635,0.00895809522965485,-0.095881546476556
2016,11,0.0819309936609503,0.0197470630020464,-0.0271938018350256
2017,11,0.218986042246267,0.0336751766575787,0.244398812839293
2018,11,0.052664933888205,-0.0133246670916458,-0.10497711861576
2019,11,0.154646808957709,0.108512761411275,0.0807037317638455
2020,11,0.187000455855684,0.0742398194009748,0.070902416366506
2021,11,0.263198068893465,-0.0108840787376532,0.0677302014201962
2022,11,-0.110862429628792,-0.129582706396448,-0.142796306867089
2000,12,,,
2001,12,-0.11477434725909,0.085160601572229,-0.209828187572665
2002,12,-0.216423278704092,0.0786759294434187,-0.16527812291555
2003,12,0.311295900622845,0.0322677629608621,0.374988248566325
2004,12,0.116958666467902,0.0439554727167364,0.182554740782524
2005,12,0.0608005141404884,0.0255010279686201,0.138892502493387
2006,12,0.156590129642363,0.0443481274364466,0.238467526314008
2007,12,0.0456018776117664,0.0707459453362491,0.140658732544475
2008,12,-0.371507562256798,0.052159992927076,-0.470686180264194
2009,12,0.282214773664371,0.06116195786084,0.374344409303589
2010,12,0.168503164786988,0.0629069663284809,0.0841738228344189
2011,12,0.00781295645779268,0.0774209458886472,-0.161337479733142
2012,12,0.164343544524141,0.0419966665420248,0.13349421155335
2013,12,0.33012502116111,-0.0212911752556022,0.122653341641503
2014,12,0.12394369089492,0.0591492963096985,-0.0629182781084667
2015,12,0.00329797091995743,0.00426511618034819,-0.0798507094339336
2016,12,0.126332705292755,0.0260728888069108,0.0166784953867991
2017,12,0.209705229625409,0.0357681566430337,0.240594179958602
2018,12,-0.054354939832738,-5.52997234375408e-05,-0.164435502339124
2019,12,0.306580588559104,0.0873475530965198,0.181146170621792
2020,12,0.205459545019125,0.0774617442800789,0.0821551812724373
2021,12,0.255380186892395,-0.0164442521596635,0.0547392152718429
2022,12,-0.192834449143915,-0.131310742851099,-0.183029503930856
